,profile,allocation_IMM,mean_IMM,allocation_WMPM,mean_WMPM,mean_vote
413,"((0.3, 0.7), (0.4, 0.6), (0.6, 0.4))",[0.4 0.6],0.06666666666666671,[0.4 0.6],0.06666666666666671,[0.433 0.567]
414,"((0.3, 0.7), (0.4, 0.6), (0.7, 0.3))",[0.4 0.6],0.13333333333333325,[0.4 0.6],0.13333333333333325,[0.467 0.533]
415,"((0.3, 0.7), (0.4, 0.6), (0.8, 0.2))",[0.4 0.6],0.2,[0.4 0.6],0.2,[0.5 0.5]
416,"((0.3, 0.7), (0.4, 0.6), (0.9, 0.1))",[0.4 0.6],0.26666666666666666,[0.4 0.6],0.26666666666666666,[0.533 0.467]
417,"((0.3, 0.7), (0.4, 0.6), (1.0, 0.0))",[0.4 0.6],0.3333333333333333,[0.4 0.6],0.3333333333333333,[0.567 0.433]
418,"((0.3, 0.7), (0.5, 0.5), (0.0, 1.0))",[0.333 0.667],0.13333333084980653,[0.3 0.7],0.06666666666666676,[0.267 0.733]
419,"((0.3, 0.7), (0.5, 0.5), (0.1, 0.9))",[0.333 0.667],0.06666666418313988,[0.3 0.7],1.1102230246251565e-16,[0.3 0.7]
420,"((0.3, 0.7), (0.5, 0.5), (0.2, 0.8))",[0.333 0.667],7.45058065243498e-09,[0.3 0.7],0.06666666666666665,[0.333 0.667]
421,"((0.3, 0.7), (0.5, 0.5), (0.3, 0.7))",[0.333 0.667],0.06666666915019359,[0.3 0.7],0.13333333333333336,[0.367 0.633]
422,"((0.3, 0.7), (0.5, 0.5), (0.4, 0.6))",[0.4 0.6],5.551115123125783e-17,[0.4 0.6],5.551115123125783e-17,[0.4 0.6]
423,"((0.3, 0.7), (0.5, 0.5), (0.5, 0.5))",[0.5 0.5],0.1333333333333333,[0.5 0.5],0.1333333333333333,[0.433 0.567]
424,"((0.3, 0.7), (0.5, 0.5), (0.6, 0.4))",[0.5 0.5],0.06666666666666671,[0.5 0.5],0.06666666666666671,[0.467 0.533]
425,"((0.3, 0.7), (0.5, 0.5), (0.7, 0.3))",[0.5 0.5],0.0,[0.5 0.5],0.0,[0.5 0.5]
426,"((0.3, 0.7), (0.5, 0.5), (0.8, 0.2))",[0.5 0.5],0.06666666666666671,[0.5 0.5],0.06666666666666671,[0.533 0.467]
427,"((0.3, 0.7), (0.5, 0.5), (0.9, 0.1))",[0.5 0.5],0.13333333333333341,[0.5 0.5],0.13333333333333341,[0.567 0.433]
428,"((0.3, 0.7), (0.5, 0.5), (1.0, 0.0))",[0.5 0.5],0.2,[0.5 0.5],0.2,[0.6 0.4]
429,"((0.3, 0.7), (0.6, 0.4), (0.0, 1.0))",[0.333 0.667],0.06666666418313988,[0.3 0.7],1.1102230246251565e-16,[0.3 0.7]
430,"((0.3, 0.7), (0.6, 0.4), (0.1, 0.9))",[0.333 0.667],7.45058065243498e-09,[0.3 0.7],0.06666666666666665,[0.333 0.667]
431,"((0.3, 0.7), (0.6, 0.4), (0.2, 0.8))",[0.333 0.667],0.06666666915019342,[0.3 0.7],0.1333333333333332,[0.367 0.633]
432,"((0.3, 0.7), (0.6, 0.4), (0.3, 0.7))",[0.333 0.667],0.1333333358168602,[0.3 0.7],0.19999999999999996,[0.4 0.6]
